in_local_head,local_exists,local_head_sha256,local_sha256,path,status,upstream_differs_from_local_head,upstream_object,upstream_sha256,upstream_text_differs_from_local_head,upstream_type,working_differs_from_head,working_text_differs_from_head
False,,,7a9a78e09f3693e0ba2da5f5e524071f0114cfeb9b119e82cdb5c93dd079d1e5,src/rinbo_fsm/test/test_manual_motion.cpp,local_only,,,,,,,
False,,,fdf6cfe0c307bd2efbacb99dca1a3f2a8a91739ed72e3b1bea837504f5e27013,src/rinbo_fsm/test/test_manual_controller.cpp,local_only,,,,,,,
False,,,524ffa9f55dc5e88cefdbf744ed77a3cafd1615274897f64f2d7c2757f67af6d,src/rinbo_fsm/test/test_robot_config.cpp,local_only,,,,,,,
False,,,e4523e43d43190fef88747ccebd3d534b74471ff2813b07cd57ebf1304d923c8,src/rinbo_fsm/test/test_cali_multileg.cpp,local_only,,,,,,,
False,,,3f3759ede1990a78a5c1c7504ef53bcee187d2a270b0e6af22f88d166c580cf6,src/rinbo_fsm/test/test_motor_arbiter_handshake.cpp,local_only,,,,,,,
False,,,8005baa5c7e90c4c507985b7c64fb8eb3625f358e60d27b1a4429d2b54abef48,src/rinbo_fsm/test/test_latest_state_safety.cpp,local_only,,,,,,,
False,,,445d1ef40ce7536c27b19f51459faae671b7ea2377d574c432f7f8b6c8a93f0d,src/rinbo_fsm/test/test_tripod_multileg.cpp,local_only,,,,,,,
False,,,205db50d0a333b2e54eb2984c2383fdcf36c3feb61fd90af51b210804cfacff6,src/redrhex_rl_controller/setup.cfg,local_only,,,,,,,
False,,,8bea3dec9112ae907cc26fb861749587c3609e178a7691132431d387a00c3a4b,src/redrhex_rl_controller/package.xml,local_only,,,,,,,
False,,,13db4e203fcd662f3d5ef56b25114885357da0f6130e9d349009aa3dcc6381f0,src/rinbo_ros_bridge/src/power_command_epoch_guard.hpp,local_only,,,,,,,
False,,,638c7d34727ed8439daff06d88e5c7d9772382b2c966e17496469e8458caafcd,src/rinbo_data_recorder/test/test_command_recording.py,local_only,,,,,,,
False,,,94227920138618aa9f2e527235827b1eca51c90f443c20f8af85c0b83ff99961,src/rinbo_ros_bridge/src/motor_output_limits.hpp,local_only,,,,,,,
False,,,2e69942fdf39af8e92fa408a5bde4862da82aecc387eb76eb85f6de4978a72de,src/rinbo_monitor/setup.cfg,local_only,,,,,,,
False,,,3d780224ff606434dda8ade897f9bef678c8bc3ef7edb9f82c6942b4a4ef856c,src/rinbo_monitor/package.xml,local_only,,,,,,,
False,,,b1064efcf862d86f8dd6148c5b2d6376dc602554993619f31bbd54178f913d15,src/rinbo_monitor/setup.py,local_only,,,,,,,
